City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Nabire,ID,-3.3667,135.4833,75.65,92,92,3.02,overcast clouds
307,Nioro,GM,13.35,-15.75,91.09,40,39,4.45,scattered clouds
308,Knysna,ZA,-34.0363,23.0471,57.58,86,100,1.05,overcast clouds
309,Kruisfontein,ZA,-34.0033,24.7314,58.89,85,100,4.45,overcast clouds
310,Namatanai,PG,-3.6667,152.4333,78.87,84,17,8.99,light rain
311,Fethiye,TR,36.6217,29.1164,58.87,40,22,2.8,few clouds
312,Soure,BR,-0.7167,-48.5233,86.14,63,64,7.85,broken clouds
313,Lucapa,AO,-8.4192,20.7447,67.5,83,77,5.03,light rain
314,Belaya Gora,RU,68.5333,146.4167,-9.44,98,100,2.1,overcast clouds
315,Mitsamiouli,KM,-11.3847,43.2844,80.89,69,20,4.61,few clouds
316,Fort Nelson,CA,58.8053,-122.7002,26.19,86,90,8.05,light snow
317,Tartus,SY,34.889,35.8866,69.42,39,5,12.06,clear sky
318,Havoysund,NO,70.9963,24.6622,32.23,69,100,10.63,light snow
319,Vestmannaeyjar,IS,63.4427,-20.2734,40.19,87,75,27.63,moderate rain
320,Skjervoy,NO,70.0311,20.9714,36.54,73,100,16.26,moderate rain
321,Chirongui,YT,-12.9319,45.1483,80.53,75,56,7.05,broken clouds
322,Arlit,NE,18.7369,7.3853,86.02,10,56,7.34,broken clouds
323,Leh,IN,34.1667,77.5833,20.64,60,0,3.0,clear sky
324,Kismayo,SO,-0.3582,42.5454,80.02,76,78,12.48,broken clouds
325,Coxim,BR,-18.5067,-54.76,89.82,48,92,4.47,overcast clouds
326,Beya,RU,53.0533,90.9139,27.5,72,37,8.32,scattered clouds
327,Salalah,OM,17.0151,54.0924,80.69,54,0,5.75,clear sky
328,Mount Isa,AU,-20.7333,139.5,74.97,94,40,2.3,light rain
329,Oktyabrskoye,RU,43.0645,44.7417,48.34,93,67,4.47,broken clouds
330,West Bay,KY,19.3667,-81.4167,81.07,70,40,1.99,scattered clouds
331,Mount Gambier,AU,-37.8333,140.7667,48.11,76,90,5.75,overcast clouds
332,Odweyne,SO,9.4092,45.064,73.18,43,40,9.84,scattered clouds
333,Sacramento,US,38.4666,-121.3177,62.55,65,1,4.0,clear sky
334,Plettenberg Bay,ZA,-34.0527,23.3716,59.13,85,100,0.25,overcast clouds
335,Tukrah,LY,32.5341,20.5791,71.76,65,57,4.81,broken clouds
336,Camacha,PT,33.0833,-16.3333,63.82,55,40,10.36,scattered clouds
337,Kemijarvi,FI,66.7131,27.4306,19.35,94,10,2.91,clear sky
338,Katsuura,JP,35.1333,140.3,59.11,68,80,15.55,broken clouds
339,Vila Velha,BR,-20.3297,-40.2925,76.95,81,75,3.0,broken clouds
340,Namie,JP,37.4833,141.0,56.26,84,50,1.39,scattered clouds
341,San Ramon,US,37.7799,-121.978,59.02,60,1,1.01,clear sky
342,Grand Gaube,MU,-20.0064,57.6608,77.4,76,13,4.0,few clouds
343,Lyskovo,RU,56.0328,45.0422,36.03,86,86,8.03,overcast clouds
344,Ixtapa,MX,20.7,-105.2,85.23,72,9,5.01,clear sky
345,Mwense,ZM,-10.3845,28.698,81.32,33,92,5.3,overcast clouds
346,Ketchikan,US,55.3422,-131.6461,37.87,93,75,0.0,broken clouds
347,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,75,17,12.08,few clouds
