City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Kavaratti,IN,2021-11-05 21:15:48,10.5669,72.642,81.59,80,89,13.73
164,Mar Del Plata,AR,2021-11-05 21:15:48,-38.0023,-57.5575,57.22,71,0,11.99
165,Comodoro Rivadavia,AR,2021-11-05 21:15:01,-45.8667,-67.5,58.86,38,0,27.63
166,Bonnyville,CA,2021-11-05 21:15:48,54.2668,-110.735,47.52,60,69,10.4
167,Henties Bay,NA,2021-11-05 21:15:49,-22.116,14.2845,59.41,90,6,10.83
168,Talnakh,RU,2021-11-05 21:15:49,69.4865,88.3972,-5.31,100,96,4.21
169,Hualmay,PE,2021-11-05 21:15:50,-11.0964,-77.6139,68.74,74,43,8.57
170,Carpenedolo,IT,2021-11-05 21:15:50,45.3645,10.4313,49.93,75,0,5.75
171,Sitka,US,2021-11-05 21:15:51,57.0531,-135.33,48.09,61,40,11.5
172,Millbrook,US,2021-11-05 21:15:52,32.4799,-86.3619,60.87,60,90,11.5
173,Wamba,NG,2021-11-05 21:15:52,8.9333,8.6,77.5,68,1,2.06
174,Yichun,CN,2021-11-05 21:15:52,47.7,128.9,33.28,89,100,10.18
175,Nouadhibou,MR,2021-11-05 21:15:53,20.931,-17.0347,71.58,68,8,11.5
176,Kibala,TD,2021-11-05 21:15:53,9.1104,18.3463,80.55,78,20,0.0
177,Phonhong,LA,2021-11-05 21:15:53,18.5007,102.4166,72.82,90,26,2.51
178,Pisco,PE,2021-11-05 21:15:54,-13.7,-76.2167,69.85,68,0,20.71
179,Severo-Kurilsk,RU,2021-11-05 21:15:54,50.6789,156.125,36.37,79,100,12.77
180,Ponta Do Sol,PT,2021-11-05 21:15:54,32.6667,-17.1,67.71,61,18,9.04
181,Port Moresby,PG,2021-11-05 21:15:55,-9.4431,147.1797,76.42,88,20,3.44
182,Rosario,AR,2021-11-05 21:12:26,-32.9468,-60.6393,65.82,37,0,4.0
183,Anadyr,RU,2021-11-05 21:15:55,64.75,177.4833,-16.1,83,0,8.95
184,Ponta Delgada,PT,2021-11-05 21:15:55,37.7333,-25.6667,70.5,83,75,21.85
185,Porto Novo,BJ,2021-11-05 21:15:56,6.4965,2.6036,76.82,86,84,6.04
186,Vila,PT,2021-11-05 21:15:56,42.0304,-8.1588,43.93,84,26,6.04
187,Saskylakh,RU,2021-11-05 21:15:57,71.9167,114.0833,2.07,91,92,18.86
188,Vryburg,ZA,2021-11-05 21:16:57,-26.9566,24.7284,75.22,17,19,9.44
189,Ngama,TD,2021-11-05 21:16:57,11.7833,17.1667,87.8,21,2,7.38
190,Chapais,CA,2021-11-05 21:16:58,49.7834,-74.8492,38.98,71,50,11.43
191,Ambulu,ID,2021-11-05 21:16:58,-8.345,113.6058,76.15,89,100,2.64
192,The Valley,AI,2021-11-05 21:16:59,18.217,-63.0578,84.34,74,20,16.11
